55969610301825	32.97	21.0	1	2026-09-24
55970047852929	31.78	19.9	1	2026-09-24
56056792383873	39.78	27.3	1	2026-09-24
56056792416641	39.78	27.3	1	2026-09-24
56056812011905	37.62	25.3	1	2026-09-24
56056812044673	39.78	27.3	1	2026-09-24
55970267627905	26.48	15.0	1	2026-09-24
55970302493057	44.86	32.0	1	2026-09-24
56057259065729	44.86	32.0	1	2026-09-24
56057259098497	56.21	42.5	1	2026-09-24
55970314355073	52.43	39.0	1	2026-09-24
55970678374785	45.51	32.6	1	2026-09-24
55970678407553	45.51	32.6	1	2026-09-24
55970678473089	41.62	29.0	1	2026-09-24
55970678505857	41.62	29.0	1	2026-09-24
55970678538625	41.62	29.0	1	2026-09-24
55970678571393	41.62	29.0	1	2026-09-24
55970678604161	41.62	29.0	1	2026-09-24
55970678636929	42.70	30.0	1	2026-09-24
55970678669697	42.70	30.0	1	2026-09-24
55970678702465	42.70	30.0	1	2026-09-24
55970678866305	49.19	36.0	1	2026-09-24
55970678931841	37.29	25.0	1	2026-09-24
55970678964609	37.29	25.0	1	2026-09-24
55970678997377	37.29	25.0	1	2026-09-24
55970678899073	30.81	19.0	1	2026-09-24
55970679030145	29.73	18.0	1	2026-09-24
55970679062913	29.73	18.0	1	2026-09-24
55970679161217	43.02	30.3	1	2026-09-24
55970679193985	43.02	30.3	1	2026-09-24
55970679226753	39.24	26.8	1	2026-09-24
55970679292289	41.83	29.2	1	2026-09-24
55970679325057	41.83	29.2	1	2026-09-24
55970679095681	30.81	19.0	1	2026-09-24
55970679128449	30.81	19.0	1	2026-09-24
55970679488897	62.81	48.6	1	2026-09-24
55970679521665	62.81	48.6	1	2026-09-24
55970679554433	62.81	48.6	1	2026-09-24
55970679259521	55.67	42.0	1	2026-09-24
55970679390593	31.78	19.9	1	2026-09-24
55970679423361	31.78	19.9	1	2026-09-24
55970679456129	31.78	19.9	1	2026-09-24
55970679587201	50.27	37.0	1	2026-09-24
55970679619969	50.27	37.0	1	2026-09-24
55970679652737	50.27	37.0	1	2026-09-24
55970679685505	31.78	19.9	1	2026-09-24
55970679718273	31.78	19.9	1	2026-09-24
55970679751041	31.78	19.9	1	2026-09-24
55970679783809	50.27	37.0	1	2026-09-24
55970679816577	50.27	37.0	1	2026-09-24
55970679849345	45.40	32.5	1	2026-09-24
55970679882113	45.40	32.5	1	2026-09-24
55970679914881	45.40	32.5	1	2026-09-24
55970679357825	54.70	41.1	1	2026-09-24
55970679947649	42.70	30.0	1	2026-09-24
55970679980417	42.70	30.0	1	2026-09-24
55970680013185	42.70	30.0	1	2026-09-24
55970680045953	66.91	52.4	1	2026-09-24
55970680078721	66.91	52.4	1	2026-09-24
55970680111489	48.64	35.5	1	2026-09-24
55970680144257	48.64	35.5	1	2026-09-24
55970680177025	48.64	35.5	1	2026-09-24
