id,scheduled_date,video_url,caption,hashtags,platforms,status,posted_at,post_url
1,2026-06-04,https://abannews.com/reels/eleganz.mp4,Sommer-Eleganz von LuxeStyle ✨ Premium-Looks für jeden Auftritt. Schweizer Shop · Gratis-Versand ab CHF 65 · -10% mit Code WELCOME10 → luxestyle.ch,#schweizmode #sommerkleid #ootdschweiz #fashiontiktokschweiz #luxestyle,"tiktok,instagram",ready,,
2,2026-06-05,https://abannews.com/reels/sommer.mp4,"Sommer-Boho von LuxeStyle 🌿 Luftige Kleider für Strand, City & laue Abende. Gratis-Versand ab CHF 65 · -10% WELCOME10 → luxestyle.ch",#swissfashion #sommeroutfit #bohostyle #fashionschweiz #ootd,"tiktok,instagram",ready,,
3,2026-06-06,https://abannews.com/reels/premium.mp4,"Welches Kleid? 1, 2 oder 3? 👇 Sommer-Lieblinge ab CHF 34.90. Code WELCOME10 = -10% 🤍",#fashionvote #sommerkleid #schweizmode #ootd #fashiontiktokschweiz,"tiktok,instagram",ready,,
4,2026-06-07,,CHF 34.90 statt Designer-Preis – gleicher Look 👀 Sommerkleid bei LuxeStyle. Code WELCOME10 = -10%,#schweizmode #ootdschweiz #sommerkleid #fashiontiktokschweiz #luxestyle,"tiktok,instagram",pending,,
5,2026-06-08,,"Das Kleid, das zu ALLEM passt 🖤 Zeitloses Basic für Büro, Date & Abend. luxestyle.ch",#blackdress #basics #ootdschweiz #minimalstyle #sommermode,"tiktok,instagram",pending,,
6,2026-06-09,,"3 Sommer-Looks unter CHF 40 ☀️ Kleid · Tasche · Sandalen. Schweizer Shop, -10% WELCOME10",#swissfashion #sommeroutfit #fashionschweiz #styletipps #ootd,"tiktok,instagram",pending,,
7,2026-06-10,,Wedding-Guest-Look unter CHF 60 💍 Abendkleid «Sirène» bei LuxeStyle. Code WELCOME10,#weddingguest #abendkleid #ootd #eventoutfit #schweizmode,"tiktok,instagram",pending,,
8,2026-06-11,,Plateau-Sandalen-Check 👡 Retro-Style mit Komfort-Sohle. Sommer-Schuhe → luxestyle.ch,#shoetok #sandalen #sommerschuhe #fashionschweiz #ootd,"tiktok,instagram",pending,,
9,2026-06-12,,"Diese Tasche geht zu jedem Look 👜 Denim-Schultertasche, Trend 2026. -10% WELCOME10",#bagtok #denimbag #accessoires #ootd #schweizmode,"tiktok,instagram",pending,,
10,2026-06-13,,Boho oder Elegant? Beide für unter CHF 50 ✨ Sommer-Kollektion bei LuxeStyle.,#bohostyle #sommermode #ootdschweiz #fashionschweiz #luxestyle,"tiktok,instagram",pending,,
1780489405,2026-06-03,"https://abannews.com/reels/auto-20260603-1222.mp4","Welcher Look ist deiner? 👇 Sommer-Favoriten ab CHF 34.90. Code WELCOME10 = -10% → luxestyle.ch","#swissfashion #sommeroutfit #ootd #fashionschweiz #styletipps","tiktok,instagram",ready,,
1780489630,2026-06-03,"https://abannews.com/reels/auto-20260603-1226.mp4","Sommer 2026 bei LuxeStyle ☀️ Luftige Looks & Kleider. -10% mit WELCOME10 · Gratis-Versand ab CHF 65 → luxestyle.ch","#sommermode2026 #ootdschweiz #fashiontiktok #schweizmode #kleider","tiktok,instagram",ready,,
1780489718,2026-06-03,"https://abannews.com/reels/auto-20260603-1228.mp4","Neu für deinen Sommer 🤍 Elegante & Boho-Styles bei LuxeStyle. Schweizer Shop, -10% Code WELCOME10 → luxestyle.ch","#schweizmode #kleider #ootdschweiz #fashiontiktokschweiz #luxestyle","tiktok,instagram",ready,,
1780492853,2026-06-03,"https://abannews.com/reels/auto-20260603-1320.mp4","Spar dir den Designer-Preis 👀 Sommerkleid «Savanna» & Co. ab CHF 34.90 bei LuxeStyle. -10% WELCOME10 → luxestyle.ch","#swissfashion #sommeroutfit #ootd #fashionschweiz #styletipps","tiktok,instagram",ready,,
1780498658,2026-06-03,"https://abannews.com/reels/auto-20260603-1456.mp4","Off-Shoulder-Kleid «Brise» & mehr Sommer-Lieblinge ✨ Schweizer Shop · Gratis-Versand ab CHF 65 · -10% mit Code WELCOME10 → luxestyle.ch","#schweizmode #sommerkleid #ootdschweiz #fashiontiktokschweiz #luxestyle","tiktok,instagram",ready,,
1780500105,2026-06-03,"https://abannews.com/reels/men-20260603-1520.mp4","Sommer-Style für ihn 🔥 Herren-Looks bei LuxeStyle. Schweizer Shop · -10% mit Code WELCOME10 → luxestyle.ch","#herrenmode #menstyle #ootdmen #schweizmode #sommer2026","tiktok,instagram",ready,,
