id,publish_date,media_url,text,networks,status,scheduled_at,note
mc-schmuck,2026-06-14T18:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/luxestyle-schmuck-tiktok.mp4?v=1781266484,"Schmuck-Drop 2026 ✨ Welches Teil ist deins? Serpent-Armreif · Coeur-Herzkette · Onyx · Stella — 925er Silber. −10% mit Code WELCOME10
#schmuck #uhren #schweiz #fashionschweiz #luxestyle #fyp","instagram,facebook,tiktok",hold,,
mc-selbstgestalten,2026-06-15T18:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/luxestyle-win-selbstgestalten-stumm.mp4?v=1781292965,"Mach dys eiges Teil 🎨🇨🇭 Schwiizer Sprüch & Motive uf Shirt, Hoodie, Täsche & Tasse — ab CHF 20.90, mit Code WELCOME10 -10%.
#selbstgestalten #mundart #fashionschweiz #schweizmode #luxestyle #fyp","instagram,facebook,tiktok",hold,,
mc-chleider,2026-06-16T18:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/luxestyle-win-chleider-stumm.mp4?v=1781292966,"Dyni Summer-Chleider 2026 ☀️ Boho, Maxi & elegant — ab CHF 34.90. Mit Code WELCOME10 -10%.
#schweizmode #fashionschweiz #ootdschweiz #sommerkleid #luxestyle #fyp","instagram,facebook,tiktok",hold,,
mc-sie-ihn,2026-06-17T18:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/luxestyle-sie-ihn-60s-stumm.mp4?v=1781278228,"Für Sie & Ihn ✨ Kleider, Schmuck & Uhren — Damen UND Herren. −10% mit Code WELCOME10
#schmuck #herrenschmuck #uhren #kleider #schweiz #luxestyle","instagram,facebook,tiktok",hold,,
mc-grand,2026-06-18T18:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/luxestyle-grand-61s-stumm.mp4?v=1781276231,"Schmuck, Uhren & mehr bei LuxeStyle ✨ Vom Armreif bis zur Automatik-Uhr — plus Mode & dein eigenes Design. −10% WELCOME10
#schmuck #uhren #watch #schweiz #luxestyle #fyp","instagram,facebook,tiktok",hold,,
mc-img-herrenuhr,2026-06-14T12:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/post-herrenuhr-edelstahl.jpg?v=1781295271,"Zeitlos am Handgelenk ⌚ Herrenuhr Edelstahl · Saphirglas, 50m wasserdicht. CHF 129.90 · −10% WELCOME10
#herrenuhr #uhren #schweiz #fashionschweiz #luxestyle","instagram,facebook",hold,,
mc-img-skelettuhr,2026-06-16T12:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/post-skelettuhr-heritage.jpg?v=1781295271,"Echter Uhrmacher-Luxus ⚙️ Automatik-Skelettuhr · offenes Werk. CHF 99.90 · −10% WELCOME10
#automatikuhr #herrenuhr #schweiz #luxestyle","instagram,facebook",hold,,
mc-img-pacific,2026-06-18T12:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/post-two-tone-business.jpg?v=1781295271,"Sportlich-elegant 🌊 Edelstahl-Sportuhr «Pacific» · GMT-Bezel & Datum. CHF 69.90 · −10% WELCOME10
#sportuhr #gmt #herrenuhr #schweiz #luxestyle","instagram,facebook",hold,,
mc-img-damenuhr,2026-06-20T12:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/post-damenuhr-petite.jpg?v=1781295272,"Zarte Eleganz ✨ Damenuhr «Petite» · Perlmutt-Zifferblatt. CHF 59.90 · −10% WELCOME10
#damenuhr #uhren #schmuck #fashionschweiz #luxestyle","instagram,facebook",hold,,
mc-img-leder,2026-06-21T12:00:00,https://cdn.shopify.com/s/files/1/0943/6856/3585/files/post-leder-anker-armband.jpg?v=1781295271,"Für ihn: maritimer Style 🤎 Leder-Armband «Anker» · Edelstahl. CHF 29.90 · −10% WELCOME10
#herrenschmuck #lederarmband #fuerihn #schweiz #luxestyle","instagram,facebook",hold,,
